Your Input	WormBase Gene ID	Public Name	Sequence Name	Other Name	RNAi Phenotype Observed	Allele Phenotype Observed	Concise Description	Automated Description	Reference
F41E7.9	WBGene00009625	F41E7.9	F41E7.9	CELE_F41E7.9	N.A.	N.A.	N.A.	Is enriched in AFD\; ASER\; PLM\; and dopaminergic neurons based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray and RNA-seq studies. Is affected by six chemicals including methylmercuric chloride\; Tunicamycin\; and Zidovudine based on microarray and RNA-seq studies.	WBPaper00028949|pmid17187676
cyn-17	WBGene00000893	cyn-17	ZC250.1	cyp-17, CELE_ZC250.1	N.A.	N.A.	N.A.	Is enriched in germ line and pharynx based on microarray and proteomic studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by fourteen chemicals including 1-methylnicotinamide\; methylmercuric chloride\; and manganese chloride based on RNA-seq and microarray studies.	WBPaper00026884|pmid18629211
CD4.11	WBGene00044542	CD4.11	CD4.11	CELE_CD4.11	N.A.	N.A.	N.A.	Is enriched in body wall muscle cell based on tiling array studies. Is affected by several genes including glp-1\; rrf-3\; and daf-12 based on tiling array\; microarray\; and RNA-seq studies. Is affected by eight chemicals including Tunicamycin\; Sodium Chloride\; and Psoralens based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Concanavalin A-like lectin\/glucanase domain superfamily and Vacuolar protein sorting-associated protein 37.	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
spp-13	WBGene00004998	spp-13	F08F1.6	CELE_F08F1.6	N.A.	N.A.	N.A.	Is enriched in hypodermis and intestine based on tiling array and microarray studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by fifteen chemicals including Ethanol\; methylmercury hydroxide\; and D-glucose based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Saposin-like type B, region 2\; Saposin B type, region 2\; Saposin B type domain\; and Saposin-like.	N.A.
F14B8.4	WBGene00017446	F14B8.4	F14B8.4	CELE_F14B8.4	embryonic lethal	N.A.	N.A.	Is enriched in hypodermis and intestine based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray\; tiling array\; and RNA-seq studies. Is affected by fifteen chemicals including rotenone\; manganese chloride\; and Mianserin based on RNA-seq and microarray studies.	N.A.
T08G2.2	WBGene00020365	T08G2.2	T08G2.2	CELE_T08G2.2	N.A.	N.A.	N.A.	Is enriched in FLP based on microarray studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on tiling array\; RNA-seq\; and microarray studies. Is affected by seven chemicals including methylmercury hydroxide\; multi-walled carbon nanotube\; and Rifampin based on RNA-seq studies. Is predicted to encode a protein with the following domains: Protein of unknown function, DUF273 and Protein of unknown function DUF273.	N.A.
dao-2	WBGene00000928	dao-2	M03A1.7	CELE_M03A1.7	N.A.	N.A.	dao-2 encodes a (putatively) secreted protein with a DB module\; dao-2 is down-regulated in daf-2 mutant adults by comparison with normal adults, and thus may be involved in dauer formation.	Is enriched in PLM\; hypodermis\; and intestine based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by twenty-eight chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and manganese chloride based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: DB module and Domain of unknown function DB.	WBPaper00005073|pmid11743719
B0393.5	WBGene00007170	B0393.5	B0393.5	CELE_B0393.5	organism development variant	N.A.	N.A.	Is predicted to have calcium ion binding activity and extracellular matrix structural constituent.	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
ocr-4	WBGene00003841	ocr-4	Y40C5A.2	CELE_Y40C5A.2	dauer lifespan extended	amplitude of sinusoidal movement decreased, backing decreased, backward point velocity increased, backward point velocity variant, body posture amplitude decreased, body posture amplitude variant, body posture wavelength decreased, coiling frequency increased, fat, forward locomotion decreased, forward point velocity increased, frequency of body bend variant, head bend angle variant, nose movement increased, path curvature variant, pausing increased, roaming increased, short, tail bend angle decreased, tail bend angle variant, turning frequency variant	ocr-4 encodes a transient receptor potential (TRP) channel\; an ocr-4::gfp reporter fusion is expressed in the four mechanosensory OLQ neurons.	Is predicted to have ion channel activity. Is expressed in OLQDL\; OLQDR\; OLQVL\; OLQVR\; and uv1. Human ortholog(s) of this gene are implicated in several diseases, including Charcot-Marie-Tooth disease axonal type 2C\; motor neuron disease (multiple)\; and osteochondrodysplasia (multiple). Is an ortholog of human TRPV5 (transient receptor potential cation channel subfamily V member 5).	WBPaper00005350|pmid12160748, WBPaper00006402|pmid14615488, WBPaper00024918|pmid15673683, WBPaper00028739|pmid17057248, WBPaper00038142|pmid21368276, WBPaper00038491|pmid21647448, WBPaper00043908|pmid23852451, WBPaper00045423|pmid24961975, WBPaper00050085|pmid27605519, WBPaper00050233|pmid27731314, WBPaper00055090|pmid30120140
C05C9.1	WBGene00007325	C05C9.1	C05C9.1	CELE_C05C9.1	nicotine hypersensitive	N.A.	N.A.	Is predicted to have lipid binding activity. Is an ortholog of several human genes including BPI (bactericidal permeability increasing protein)\; BPIFC (BPI fold containing family C)\; and PLTP (phospholipid transfer protein).	WBPaper00042257|pmid23496871, WBPaper00055090|pmid30120140
W04C9.9	WBGene00235388	W04C9.9	W04C9.9	CELE_W04C9.9	N.A.	N.A.	N.A.	Is affected by eat-2 based on RNA-seq studies. Is affected by Rifampin and Psoralens based on RNA-seq studies.	N.A.
comt-1	WBGene00018741	comt-1	F53B3.2	CELE_F53B3.2	reduced brood size	N.A.	N.A.	Is predicted to have O-methyltransferase activity. Is an ortholog of human COMTD1 (catechol-O-methyltransferase domain containing 1).	WBPaper00038491|pmid21647448, WBPaper00042257|pmid23496871, WBPaper00055090|pmid30120140
srd-55	WBGene00005133	srd-55	K02A2.2	CELE_K02A2.2	N.A.	N.A.	N.A.	Is affected by several genes including daf-2\; daf-12\; and clk-1 based on microarray and RNA-seq studies. Is affected by eight chemicals including methylmercuric chloride\; multi-walled carbon nanotube\; and Psoralens based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Srd and 7TM GPCR, serpentine receptor class d (Srd).	WBPaper00005965|pmid12736202
K11D12.6	WBGene00019646	K11D12.6	K11D12.6	CELE_K11D12.6	apoptosis increased, apoptosis variant	N.A.	K11D12.6 encodes a putative serine protease inhibitor, with no obviousnon-nematode orthologs but multiple C. elegans paralogs\; K11D12.6antagonizes CEP-1- and HUS-1-dependent germline apoptosis, as do BMK-1,RAD-50, and RAD-51.	Is predicted to have serine-type endopeptidase inhibitor activity.	N.A.
F55B11.2	WBGene00010084	F55B11.2	F55B11.2	CELE_F55B11.2	cell membrane organization biogenesis variant, embryonic lethal, germ cell compartment multinucleate, maternal sterile, oogenesis variant, rachis morphology variant	N.A.	N.A.	Is enriched in AVK and germ line based on RNA-seq studies. Is affected by several genes including daf-2\; rrf-3\; and let-7 based on microarray\; proteomic\; and RNA-seq studies. Is affected by nineteen chemicals including Ethanol\; 1-methylnicotinamide\; and rotenone based on RNA-seq and microarray studies.	N.A.
T25E4.1	WBGene00020803	T25E4.1	T25E4.1	CELE_T25E4.1	N.A.	N.A.	N.A.	Is enriched in DA neuron\; GABAergic neurons\; germ line\; intestine\; and pharynx based on microarray\; proteomic\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by twenty chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and Tunicamycin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Family of unknown function (DUF5346) and Protein of unknown function DUF5346.	N.A.
R12A1.3	WBGene00020017	R12A1.3	R12A1.3	CELE_R12A1.3	transgene expression increased	N.A.	N.A.	Is predicted to have serine-type endopeptidase inhibitor activity. Is an ortholog of human WFDC8 (WAP four-disulfide core domain 8).	WBPaper00038491|pmid21647448, WBPaper00041771|pmid23195953, WBPaper00055090|pmid30120140
C06E7.88	WBGene00189995	C06E7.88	C06E7.88	CELE_C06E7.88	N.A.	N.A.	N.A.	Is enriched in intestine and male-specific anatomical entity based on RNA-seq and microarray studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on RNA-seq and microarray studies. Is affected by fourteen chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and stavudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
Y39G8B.9	WBGene00012728	Y39G8B.9	Y39G8B.9	CELE_Y39G8B.9	N.A.	N.A.	N.A.	Is enriched in head mesodermal cell\; intestine\; pharyngeal muscle cell\; and sensory neurons based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and glp-1 based on RNA-seq\; tiling array\; and microarray studies. Is affected by thirteen chemicals including 1-methylnicotinamide\; nicotinic acid\; and rotenone based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: ShK domain-like and ShKT domain.	N.A.
T23E1.1	WBGene00020728	T23E1.1	T23E1.1	CELE_T23E1.1	fat content reduced	N.A.	N.A.	Is predicted to have catalytic activity.	WBPaper00028430|pmid16921378
wrt-10	WBGene00006956	wrt-10	ZK1290.8	CELE_ZK1290.8	body vacuole, intestinal vacuole, locomotion variant, small	N.A.	wrt-10 encodes a hedgehog-like protein, with an N-terminal signalsequence, a Wart domain, and a C-terminal region of low-complexitysequence\; WRT-10 is expressed in both male and hermaphrodite intestine\;the Wart domain is predicted to form a cysteine-crosslinked proteininvolved in intercellular signalling, and it has subtle similarity tothe N-terminal Hedge domain of HEDGEHOG proteins\; WRT-10 is required fornormal growth to full size and locomotion\; both of these requirementsmay reflect common defects in cholesterol-dependent hedgehog-likesignalling or in vesicle trafficking.	Is expressed in hypodermis\; interfacial epithelial cell\; and intestine.	WBPaper00003717|pmid10523520, WBPaper00026629|pmid15987632, WBPaper00026841|pmid16204193, WBPaper00028754|pmid17076889, WBPaper00031588|pmid18334026, WBPaper00058696|pmid32550467, WBPaper00059816|pmid32544391
C01F1.5	WBGene00015300	C01F1.5	C01F1.5	CELE_C01F1.5	N.A.	N.A.	N.A.	Is predicted to have metallopeptidase activity.	N.A.
Y62H9A.9	WBGene00013397	Y62H9A.9	Y62H9A.9	CELE_Y62H9A.9	N.A.	N.A.	N.A.	Is affected by several genes including eat-2\; pgl-1\; and glh-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by seven chemicals including Zidovudine\; Psoralens\; and allantoin based on RNA-seq and microarray studies.	N.A.
ptr-4	WBGene00004219	ptr-4	C45B2.7	CELE_C45B2.7	alae secretion variant, body vacuole, dumpy, embryonic lethal, engulfment variant, extended life span, intestinal vacuole, larval arrest, larval lethal, late larval lethal, lethal, locomotion variant, male tail development variant, molt defect, multiple alae, paralyzed, reduced brood size, small, sterile	N.A.	ptr-4 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome)\; PTR-4 isstrongly required for normal molting from L4 to adult stages male taildevelopment (a role conserved in C. briggsae)\; PTR-4 is also requiredfor normal endocytosis of yolk by oocytes, adult alae formation, growthto full size, locomotion, and viability.	Is involved in endocytosis\; molting cycle\; and nematode male tail tip morphogenesis. Is an ortholog of human PTCHD3 (patched domain containing 3).	WBPaper00004265|pmid10921907, WBPaper00026841|pmid16204193, WBPaper00038491|pmid21647448, WBPaper00049732|pmid27334271, WBPaper00055090|pmid30120140
mam-3	WBGene00010714	mam-3	K09B11.10	CELE_K09B11.10	N.A.	N.A.	N.A.	Is enriched in germline precursor cell and hypodermis based on tiling array studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by twelve chemicals including Ethanol\; Nitric Oxide\; and methylmercury hydroxide based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: Concanavalin A-like lectin\/glucanase domain superfamily.	N.A.
bus-18	WBGene00044631	bus-18	F55A11.5	acl-10, CELE_F55A11.5	N.A.	bacterially unswollen, bleach hypersensitive, colchicine hypersensitive, cuticle carbohydrate surface variant, cuticle fragile, drug hypersensitive, emetine hypersensitive, exploded through vulva, male mating efficiency reduced, organism hypersensitive desiccation, pathogen adherence variant, pathogen resistance increased, skiddy, slow growth, small	bus-18 encodes a lysocardiolipin acyltransferase\; bus-18 is required for colonization by Microbacterium nematophilum and the tail-swelling response to M. nematophilum infection, as well as for cuticle integrity, traction during movement, full body size, normally rapid growth, and vulval morphogenesis\; bus-18 is also needed for normal cuticle antigens and resistance to emetine or colchicine, perhaps because its cuticle is abnormally permeable.	Exhibits transferase activity, transferring acyl groups. Is involved in morphogenesis of an epithelium and phosphatidylinositol metabolic process. Localizes to endoplasmic reticulum. Is expressed in several structures, including AIY\; excretory gland cell\; hypodermis\; interfacial epithelial cell\; and vulva. Is an ortholog of human LCLAT1 (lysocardiolipin acyltransferase 1).	WBPaper00026735|pmid16079230, WBPaper00029153|pmid17339204, WBPaper00031925|pmid18515487, WBPaper00032379|pmid19035336, WBPaper00036723|pmid20668164, WBPaper00038491|pmid21647448, WBPaper00040643|pmid22172515, WBPaper00042257|pmid23496871, WBPaper00055090|pmid30120140
F59B10.3	WBGene00010319	F59B10.3	F59B10.3	CELE_F59B10.3	embryonic lethal	N.A.	N.A.	Is enriched in ASER\; GABAergic neurons\; intestine\; and pharynx based on microarray and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by fifteen chemicals including methylmercury hydroxide\; rotenone\; and D-glucose based on RNA-seq and microarray studies.	N.A.
mlt-11	WBGene00012186	mlt-11	W01F3.3	phi-36, CELE_W01F3.3	avoids bacterial lawn, embryonic lethal, L1 arrest, larval arrest, locomotion variant, molt defect, nicotine hypersensitive, protein aggregation variant, slow growth, transgene subcellular localization variant	N.A.	mlt-11 encodes one of 13 C. elegans proteins related to the mammalian Tissue Factor Pathway Inhibitors (TFPIs), serine protease inhibitors that function in blood coagulation (OMIM:152310)\; in C. elegans, genetic analysis indicates that mlt-11 is required for proper molting and, likely, for proper spatial and\/or temporal regulation of proteolysis during the molting cycle\; a mlt-11::gfp promoter fusion is expressed mid-way through each larval stage in the hypodermis including the hyp7 syncytium, the lateral seam cells (at larval-to-larval molts) and head and tail hypodermis\; mlt-11 expression appears to be positively regulated by NHR-23 and LIN-14.	Is predicted to have serine-type endopeptidase inhibitor activity. Is expressed in hypodermis. Human ortholog(s) of this gene are implicated in congenital secretory sodium diarrhea 3.	WBPaper00026952|pmid16314527, WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
abcx-1	WBGene00006522	abcx-1	C56E6.1	tag-177, CELE_C56E6.1	N.A.	N.A.	N.A.	Is involved in positive regulation of nematode male tail tip morphogenesis. Is expressed in hyp11\; hyp8\; and hyp9. Human ortholog(s) of this gene are implicated in sitosterolemia. Is an ortholog of human ABCG5 (ATP binding cassette subfamily G member 5).	WBPaper00027644|pmid16723499, WBPaper00029435|pmid17521386, WBPaper00031484|pmid18245353, WBPaper00055090|pmid30120140
Y11D7A.5	WBGene00012429	Y11D7A.5	Y11D7A.5	CELE_Y11D7A.5	N.A.	N.A.	N.A.	Is enriched in OLL\; PLM\; PVD\; germline precursor cell\; and hypodermis based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on RNA-seq\; tiling array\; and microarray studies. Is affected by nineteen chemicals including Heme\; methylmercury hydroxide\; and 1-methylnicotinamide based on microarray and RNA-seq studies.	N.A.
Y64H9A.2	WBGene00022024	Y64H9A.2	Y64H9A.2	CELE_Y64H9A.2	N.A.	N.A.	N.A.	Is enriched in OLL\; PLM\; PVD\; germline precursor cell\; and hypodermis based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray\; tiling array\; and RNA-seq studies. Is affected by twenty chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and manganese chloride based on RNA-seq and microarray studies.	N.A.
eva-1	WBGene00009304	eva-1	F32A7.3	tag-271, CELE_F32A7.3	mitochondria alignment variant, muscle cell attachment variant, protein expression reduced	N.A.	eva-1 encodes, by alternative splicing, two isoforms of a cell-surface protein that acts cell-autonomously with SAX-3 as a SLT-1 receptor subunit, and is required for guidance of the AVM pioneer axon to the ventral nerve cord\; EVA-1's long isoform is predicted to have a signal sequence, an ectodomain with two lectinlike galactose-binding sequences, a single transmembrane sequence, and a cytodomain with a phosphotyrosine binding motif\; homologs of EVA-1 include human C21orf63\; EVA-1 is expressed in embryonic neurons during axonal growth, head and tail neurons, the ventral nerve cord, pharyngeal and body wall muscles, hypodermis, uterus and vulva\; ectopic EVA-1 expression in touch-receptor neurons causes the cell body of ALM to be displaced anteriorly (due to failed posterior migration) in a SLT-1-dependent manner\; the cytodomain of EVA-1 is functionally dispensable in vivo\; eva-1 mutants enhance the ventral-axon guidance defects of unc-40 mutants\; EVA-1, SLT-1, and SAX-3 bind one another in vitro.	Is predicted to have carbohydrate binding activity. Localizes to M band\; cell junction\; and striated muscle dense body. Is expressed in body wall musculature\; hypodermis\; pharyngeal muscle cell\; and ventral nerve cord. Is an ortholog of human EVA1C (eva-1 homolog C).	WBPaper00031043|pmid17901337, WBPaper00032413|pmid19062279, WBPaper00038444|pmid21611156, WBPaper00038491|pmid21647448, WBPaper00040235|pmid21996675, WBPaper00045615|pmid25122090, WBPaper00049528|pmid27123983, WBPaper00053600|pmid29367452, WBPaper00055090|pmid30120140
cutl-4	WBGene00012304	cutl-4	W06D12.1	CELE_W06D12.1	N.A.	N.A.	N.A.	Is enriched in PLM based on RNA-seq studies. Is affected by several genes including eat-2\; dpy-7\; and eri-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by six chemicals including 1-methylnicotinamide\; Rifampin\; and Sirolimus based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: Zona pellucida domain.	N.A.
clec-266	WBGene00016088	clec-266	C25B8.4	CELE_C25B8.4	N.A.	N.A.	N.A.	Is predicted to have carbohydrate binding activity. Is expressed in intestinal cell. Is an ortholog of human CLEC10A (C-type lectin domain containing 10A).	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
gasr-8	WBGene00008144	gasr-8	C47E8.6	xbx-10, xbx-10, CELE_C47E8.6	embryonic lethal, fewer germ cells, no oocytes, nuclear appearance variant, sperm morphology variant, sterile	N.A.	N.A.	Is predicted to have Rab GTPase binding activity and microtubule binding activity. Localizes to ciliary basal body. Is expressed in amphid neurons\; ciliated neurons\; head neurons\; sensory neurons\; and tail neurons. Human ortholog(s) of this gene are implicated in primary ciliary dyskinesia 33. Is an ortholog of human GAS8 (growth arrest specific 8).	WBPaper00026601|pmid15916950, WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
C09G9.3	WBGene00007494	C09G9.3	C09G9.3	CELE_C09G9.3	N.A.	N.A.	N.A.	Is enriched in NSM and PLM based on tiling array and RNA-seq studies. Is affected by several genes including rrf-3\; daf-12\; and clk-1 based on tiling array\; microarray\; and RNA-seq studies. Is affected by five chemicals including Rifampin\; allantoin\; and glycine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: C6 domain.	N.A.
M163.7	WBGene00010939	M163.7	M163.7	CELE_M163.7	N.A.	N.A.	N.A.	Is affected by rsr-2\; daf-2\; and mex-3 based on tiling array\; microarray\; and RNA-seq studies. Is affected by four chemicals including Psoralens\; allantoin\; and Sirolimus based on RNA-seq studies.	N.A.
pqn-73	WBGene00004155	pqn-73	W01C9.3	CELE_W01C9.3	N.A.	N.A.	The protein product of this gene is predicted to contain a glutamine\/asparagine (Q\/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).	Is expressed in arcade cell.	N.A.
ZK154.1	WBGene00022665	ZK154.1	ZK154.1	CELE_ZK154.1	N.A.	N.A.	N.A.	Is enriched in AFD and hypodermis based on RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on RNA-seq\; microarray\; and proteomic studies. Is affected by fifteen chemicals including Ethanol\; methylmercury hydroxide\; and methylmercuric chloride based on RNA-seq and microarray studies.	N.A.
C38C6.3	WBGene00007996	C38C6.3	C38C6.3	CELE_C38C6.3	transgene expression increased	N.A.	N.A.	Is enriched in PLM\; body wall musculature\; germline precursor cell\; and hypodermis based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on tiling array\; microarray\; and RNA-seq studies. Is affected by seventeen chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and Alovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
C26B9.2	WBGene00016132	C26B9.2	C26B9.2	CELE_C26B9.2	N.A.	N.A.	N.A.	Is enriched in hypodermis\; muscle cell\; neurons\; and retrovesicular ganglion based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-2\; and let-60 based on tiling array\; microarray\; and RNA-seq studies. Is affected by ten chemicals including methylmercury hydroxide\; multi-walled carbon nanotube\; and stavudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
pqn-16	WBGene00004107	pqn-16	C24B5.5	CELE_C24B5.5	N.A.	N.A.	The protein product of this gene is predicted to contain a glutamine\/asparagine (Q\/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).	Is affected by several genes including clk-1\; eat-2\; and lin-35 based on microarray and RNA-seq studies. Is affected by seven chemicals including metformin\; Sirolimus\; and Rifampin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	WBPaper00055090|pmid30120140
F23F12.12	WBGene00017756	F23F12.12	F23F12.12	CELE_F23F12.12	N.A.	N.A.	N.A.	Is enriched in AFD\; ASER\; and somatic gonad precursor based on RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and glp-1 based on microarray and RNA-seq studies. Is affected by twenty-two chemicals including hydrogen sulfide\; rotenone\; and Deoxyglucose based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domain: Phosphorylation site.	N.A.
C29E4.9	WBGene00016206	C29E4.9	C29E4.9	CELE_C29E4.9	N.A.	N.A.	N.A.	Is enriched in somatic gonad precursor based on RNA-seq studies. Is affected by several genes including daf-2\; let-60\; and sir-2.1 based on RNA-seq and microarray studies. Is affected by Zidovudine and Atrazine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
C02F5.14	WBGene00044445	C02F5.14	C02F5.14	CELE_C02F5.14	N.A.	N.A.	N.A.	Is enriched in PLM\; hypodermis\; and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; rrf-3\; and hsf-1 based on RNA-seq and microarray studies. Is affected by eleven chemicals including 1-methylnicotinamide\; nicotinic acid\; and rotenone based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
cut-6	WBGene00000853	cut-6	M142.2	CELE_M142.2	alae absent, alae morphology variant, annulae morphology variant, dauer constitutive, dauer cuticle variant, dauer development phenotype, dumpy	N.A.	N.A.	Localizes to alae of collagen and cuticulin-based cuticle extracellular matrix. Is expressed in hypodermal cell.	WBPaper00006072|pmid12921736, WBPaper00025242|pmid15936343
lim-4	WBGene00002987	lim-4	ZC64.4	nss-1, CELE_ZC64.4	transgene expression increased	butanone chemotaxis variant, dauer formation variant	lim-4 encodes a LIM homeodomain protein homologous to murine Lhx6 and L3\/Lhx7, and to Drosophila ARROWHEAD\; LIM-4 is required for differentiation of AWB chemosensory neurons, for several but not all aspects of RID motor neuron differentiation, expression of ser-2, repulsion from chemosensory repellants, SAA neurite outgrowth, and normal locomotion and head foraging\; lim-4 is expressed in AWB, RID, RIV, RMDL, RMDR, RMEV, four SAA neurons, and four SIA neurons.	Exhibits RNA polymerase II regulatory region sequence-specific DNA binding activity. Is involved in cell fate specification and regulation of transcription, DNA-templated. Localizes to nucleus. Is expressed in several structures, including ABalpppppa\; ABpraaappa\; head muscle\; head neurons\; and somatic nervous system. Is an ortholog of human LHX6 (LIM homeobox 6) and LHX8 (LIM homeobox 8).	WBPaper00003593|pmid10421632, WBPaper00004906|pmid11546744, WBPaper00005810|pmid12588839, WBPaper00006106|pmid12835394, WBPaper00006146|pmid14536063, WBPaper00006180|pmid14568548, WBPaper00006431|pmid14757639, WBPaper00026788|pmid16143323, WBPaper00026818|pmid16168406, WBPaper00028910|pmid17170704, WBPaper00029060|pmid17251413, WBPaper00029071|pmid17267603, WBPaper00031936|pmid18524955, WBPaper00032215|pmid18817734, WBPaper00034710|pmid19589887, WBPaper00038491|pmid21647448, WBPaper00042548|pmid23818874, WBPaper00048472|pmid26305787, WBPaper00048517|pmid26341465, WBPaper00051345|pmid28578929, WBPaper00053200|pmid28988862, WBPaper00054670|pmid29866922, WBPaper00055090|pmid30120140, WBPaper00059537|pmid32273286
tbx-7	WBGene00006544	tbx-7	ZK328.8	CELE_ZK328.8	N.A.	N.A.	tbx-7 encodes one of 21 C. elegans T-box transcription factors\; in large-scale RNAi screens for early embryonic defects, loss of tbx-7 activity results in no obvious abnormalities\; thus, the precise role of tbx-7 in C. elegans development and\/or behavior is not yet known.	Is predicted to have DNA-binding transcription factor activity, RNA polymerase II-specific.	WBPaper00002132|pmid7774921, WBPaper00002863|pmid9276934, WBPaper00024194|pmid15102704, WBPaper00028546|pmid17005176, WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
F15H10.8	WBGene00008875	F15H10.8	F15H10.8	CELE_F15H10.8	N.A.	N.A.	N.A.	Is enriched in hypodermis and intestine based on tiling array and RNA-seq studies. Is affected by several genes including skn-1\; rrf-3\; and eat-2 based on RNA-seq\; tiling array\; and microarray studies. Is affected by eleven chemicals including methylmercury hydroxide\; methylmercuric chloride\; and Mercuric Chloride based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
C47E8.9	WBGene00008146	C47E8.9	C47E8.9	CELE_C47E8.9	N.A.	N.A.	N.A.	Is enriched in somatic gonad precursor based on RNA-seq studies. Is affected by several genes including daf-16\; rrf-3\; and daf-12 based on RNA-seq and microarray studies. Is affected by four chemicals including Tunicamycin\; multi-walled carbon nanotube\; and Zidovudine based on microarray and RNA-seq studies.	N.A.
F18C5.5	WBGene00017560	F18C5.5	F18C5.5	CELE_F18C5.5	N.A.	N.A.	N.A.	Is enriched in OLL\; PVD\; germline precursor cell\; and hypodermis based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by eighteen chemicals including methylmercury hydroxide\; methylmercuric chloride\; and manganese chloride based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
grl-5	WBGene00001714	grl-5	Y47D7A.5	Y47D7A.j, Y47D7A.j, CELE_Y47D7A.5	N.A.	N.A.	grl-5 encodes a hedgehog-like protein, with an N-terminal signalsequence, a central proline-rich low-complexity region, and a C-terminalGround-like (Grl) domain\; the Grl domain is predicted to form acysteine-crosslinked protein involved in intercellular signalling, andit has subtle similarity to the N-terminal Hedge domain of HEDGEHOGproteins.	Is expressed in hypodermis and rectal epithelium. Is predicted to encode a protein with the following domains: Ground-like domain and Ground-like domain.	WBPaper00028754|pmid17076889, WBPaper00031588|pmid18334026, WBPaper00058700|pmid31615656
