C48B6.4	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain
C48B6.4	IPR029021	Protein-tyrosine phosphatase-like
C48B6.5	IPR002184	7TM GPCR, serpentine receptor class b (Srb)
C48B6.6b	IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain
C48B6.6b	IPR003152	FATC domain
C48B6.6b	IPR011009	Protein kinase-like domain superfamily
C48B6.6b	IPR014009	PIK-related kinase
C48B6.6b	IPR016024	Armadillo-type fold
C48B6.6b	IPR031559	Serine/threonine-protein kinase SMG1
C48B6.6b	IPR036940	Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily
C48B6.6b	IPR039414	SMG1, PIKK catalytic domain
C48B6.8	IPR026511	Parathyroid hormone-responsive B1
C48B6.8	IPR028073	PTHB1, N-terminal domain
C48B6.8	IPR028074	PTHB1, C-terminal domain
C48B6.8	IPR036322	WD40-repeat-containing domain superfamily
C48B6.9	IPR029201	Jiraiya
C48C5.1	IPR000276	G protein-coupled receptor, rhodopsin-like
C48C5.1	IPR017452	GPCR, rhodopsin-like, 7TM
C48C5.3	IPR017452	GPCR, rhodopsin-like, 7TM
C48C5.3	IPR039952	G-protein coupled receptor Aex-2
C48D1.1a	IPR001611	Leucine-rich repeat
C48D1.1a	IPR011989	Armadillo-like helical
C48D1.1a	IPR016024	Armadillo-type fold
C48D1.1a	IPR032675	Leucine-rich repeat domain superfamily
C48D1.2a	IPR001309	Peptidase C14, p20 domain
C48D1.2a	IPR001315	CARD domain
C48D1.2a	IPR002138	Peptidase C14, caspase non-catalytic subunit p10
C48D1.2a	IPR011029	Death-like domain superfamily
C48D1.2a	IPR011600	Peptidase C14, caspase domain
C48D1.2a	IPR015917	Peptidase C14A, caspase catalytic domain
C48D1.2a	IPR016129	Peptidase family C14A, His active site
C48D1.2a	IPR029030	Caspase-like domain superfamily
C48D1.2a	IPR033139	Peptidase family C14A, cysteine active site
C48D1.3	IPR001734	Sodium/solute symporter
C48D1.3	IPR038377	Sodium/glucose symporter superfamily
C48D5.1a	IPR000536	Nuclear hormone receptor, ligand-binding domain
C48D5.1a	IPR001628	Zinc finger, nuclear hormone receptor-type
C48D5.1a	IPR013088	Zinc finger, NHR/GATA-type
C48D5.1a	IPR035500	Nuclear hormone receptor-like domain superfamily
C48D5.2a	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain
C48D5.2a	IPR000299	FERM domain
C48D5.2a	IPR000387	Tyrosine-specific protein phosphatases domain
C48D5.2a	IPR001478	PDZ domain
C48D5.2a	IPR003595	Protein-tyrosine phosphatase, catalytic
C48D5.2a	IPR011993	PH-like domain superfamily
C48D5.2a	IPR012151	Protein-tyrosine phosphatase, non-receptor type-3, -4
C48D5.2a	IPR014352	FERM/acyl-CoA-binding protein superfamily
C48D5.2a	IPR014847	FERM adjacent
C48D5.2a	IPR016130	Protein-tyrosine phosphatase, active site
C48D5.2a	IPR018979	FERM, N-terminal
C48D5.2a	IPR018980	FERM, C-terminal PH-like domain
C48D5.2a	IPR019747	FERM conserved site
C48D5.2a	IPR019748	FERM central domain
C48D5.2a	IPR019749	Band 4.1 domain
C48D5.2a	IPR029021	Protein-tyrosine phosphatase-like
C48D5.2a	IPR029071	Ubiquitin-like domain superfamily
C48D5.2a	IPR035963	FERM superfamily, second domain
C48D5.2a	IPR036034	PDZ superfamily
C48D5.2a	IPR041783	PTPN3/4, FERM domain C-lobe
C48E7.10	IPR008138	Saposin B type, region 2
C48E7.10	IPR008139	Saposin B type domain
C48E7.10	IPR011001	Saposin-like
C48E7.11	IPR004827	Basic-leucine zipper domain
C48E7.11	IPR031106	CCAAT/enhancer-binding protein C/EBP
C48E7.11	IPR046347	Basic-leucine zipper domain superfamily
C48E7.2	IPR008806	RNA polymerase III Rpc82, C -terminal
C48E7.2	IPR013197	RNA polymerase III subunit RPC82-related, helix-turn-helix
C48E7.2	IPR036388	Winged helix-like DNA-binding domain superfamily
C48E7.2	IPR036390	Winged helix DNA-binding domain superfamily
C48E7.2	IPR039748	DNA-directed RNA polymerase III subunit RPC3
C48E7.3	IPR007146	Sas10/Utp3/C1D
C48E7.5	IPR003112	Olfactomedin-like domain
C48E7.5	IPR008160	Collagen triple helix repeat
C48E7.6	IPR039005	CSPG repeat
C48E7.8	IPR002656	Acyltransferase 3 domain
C48E7.8	IPR006621	Nose resistant-to-fluoxetine protein, N-terminal
C48E7.9	IPR003280	Two pore domain potassium channel
C48E7.9	IPR013099	Potassium channel domain
C48G7.3a	IPR000159	Ras-associating domain
C48G7.3a	IPR000980	SH2 domain
C48G7.3a	IPR003123	VPS9 domain
C48G7.3a	IPR036860	SH2 domain superfamily
C48G7.3a	IPR037191	VPS9 domain superfamily
C48G7.3a	IPR045046	Vacuolar protein sorting-associated protein 9-like
C49A1.2a	IPR000615	Bestrophin
C49A1.2a	IPR021134	Bestrophin-like
C49A1.3	IPR000615	Bestrophin
C49A1.3	IPR021134	Bestrophin-like
C49A1.4a	IPR028472	Eyes absent family
C49A1.4a	IPR038102	EYA domain superfamily
C49A1.4a	IPR042577	EYA domain, metazoan
C49A1.5	IPR008166	Glycosyltransferase family 92
C49A1.6	IPR006583	PAN-3 domain
C49A1.6	IPR016186	C-type lectin-like/link domain superfamily
C49A1.6	IPR016187	C-type lectin fold
C49A1.9	IPR006583	PAN-3 domain
C49A1.9	IPR016187	C-type lectin fold
C49A9.1	IPR004987	Protein of unknown function DUF272
C49A9.10	IPR019180	Oxidoreductase-like, N-terminal
C49A9.10	IPR039251	Oxidoreductase-like domain-containing protein 1
C49A9.2	IPR004987	Protein of unknown function DUF272
C49A9.3	IPR004987	Protein of unknown function DUF272
C49A9.4	IPR004987	Protein of unknown function DUF272
C49A9.5	IPR004987	Protein of unknown function DUF272
C49A9.6	IPR004987	Protein of unknown function DUF272
C49A9.7	IPR000276	G protein-coupled receptor, rhodopsin-like
C49A9.7	IPR001681	Neurokinin receptor
C49A9.7	IPR017452	GPCR, rhodopsin-like, 7TM
C49A9.8	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
C49A9.8	IPR035595	UDP-glycosyltransferase family, conserved site
C49A9.9a	IPR004987	Protein of unknown function DUF272
C49C3.1	IPR000175	Sodium:neurotransmitter symporter
C49C3.1	IPR037272	Sodium:neurotransmitter symporter superfamily
C49C3.10a	IPR000719	Protein kinase domain
C49C3.10a	IPR008271	Serine/threonine-protein kinase, active site
C49C3.10a	IPR011009	Protein kinase-like domain superfamily
C49C3.11	IPR001304	C-type lectin-like
C49C3.11	IPR016186	C-type lectin-like/link domain superfamily
C49C3.11	IPR016187	C-type lectin fold
C49C3.12	IPR001304	C-type lectin-like
C49C3.12	IPR016186	C-type lectin-like/link domain superfamily
C49C3.12	IPR016187	C-type lectin fold
C49C3.13	IPR001304	C-type lectin-like
C49C3.13	IPR016186	C-type lectin-like/link domain superfamily
C49C3.13	IPR016187	C-type lectin fold
C49C3.4a	IPR000742	EGF-like domain
C49C3.5	IPR001356	Homeobox domain
C49C3.5	IPR009057	Homeobox-like domain superfamily
C49C8.1	IPR000719	Protein kinase domain
C49C8.1	IPR011009	Protein kinase-like domain superfamily
C49C8.4	IPR001128	Cytochrome P450
C49C8.4	IPR002401	Cytochrome P450, E-class, group I
C49C8.4	IPR017972	Cytochrome P450, conserved site
C49C8.4	IPR036396	Cytochrome P450 superfamily
C49C8.5	IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain
C49C8.5	IPR014716	Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1
C49C8.5	IPR036056	Fibrinogen-like, C-terminal
C49D10.10	IPR000718	Peptidase M13
C49D10.10	IPR008753	Peptidase M13, N-terminal domain
C49D10.10	IPR018497	Peptidase M13, C-terminal domain
C49D10.10	IPR024079	Metallopeptidase, catalytic domain superfamily
C49D10.10	IPR042089	Peptidase M13, domain 2
C49D10.2	IPR000536	Nuclear hormone receptor, ligand-binding domain
C49D10.2	IPR001628	Zinc finger, nuclear hormone receptor-type
C49D10.2	IPR013088	Zinc finger, NHR/GATA-type
C49D10.2	IPR035500	Nuclear hormone receptor-like domain superfamily
C49D10.2	IPR049636	Hepatocyte nuclear factor 4-like, DNA-binding domain
C49D10.3	IPR019422	7TM GPCR, serpentine receptor class h (Srh)
C49D10.4	IPR002656	Acyltransferase 3 domain
C49D10.4	IPR043968	SGNH domain
C49D10.8	IPR002656	Acyltransferase 3 domain
C49D10.8	IPR043968	SGNH domain
C49D10.9	IPR000536	Nuclear hormone receptor, ligand-binding domain
C49D10.9	IPR001628	Zinc finger, nuclear hormone receptor-type
C49D10.9	IPR013088	Zinc finger, NHR/GATA-type
C49D10.9	IPR035500	Nuclear hormone receptor-like domain superfamily
C49F5.1	IPR002133	S-adenosylmethionine synthetase
C49F5.1	IPR022628	S-adenosylmethionine synthetase, N-terminal
C49F5.1	IPR022629	S-adenosylmethionine synthetase, central domain
C49F5.1	IPR022630	S-adenosylmethionine synthetase, C-terminal
C49F5.1	IPR022631	S-adenosylmethionine synthetase, conserved site
C49F5.1	IPR022636	S-adenosylmethionine synthetase superfamily
C49F5.2	IPR001214	SET domain
C49F5.2	IPR046341	SET domain superfamily
C49F5.4	IPR000536	Nuclear hormone receptor, ligand-binding domain
C49F5.4	IPR001628	Zinc finger, nuclear hormone receptor-type
C49F5.4	IPR013088	Zinc finger, NHR/GATA-type
C49F5.4	IPR035500	Nuclear hormone receptor-like domain superfamily
C49F5.5	IPR000197	Zinc finger, TAZ-type
C49F5.5	IPR013178	Histone acetyltransferase Rtt109/CBP
C49F5.5	IPR035898	TAZ domain superfamily
C49F8.2	IPR011701	Major facilitator superfamily
C49F8.2	IPR036259	MFS transporter superfamily
C49F8.3	IPR002602	Domain of unknown function DB
C49G7.11	IPR002818	DJ-1/PfpI
C49G7.11	IPR006287	Protein/nucleic acid deglycase DJ-1
C49G7.11	IPR029062	Class I glutamine amidotransferase-like
C49G7.13	IPR003366	CUB-like domain
C49G7.2	IPR019422	7TM GPCR, serpentine receptor class h (Srh)
C49G7.3	IPR003582	ShKT domain
C49G7.4	IPR003582	ShKT domain
C49G7.8	IPR001128	Cytochrome P450
C49G7.8	IPR002401	Cytochrome P450, E-class, group I
C49G7.8	IPR017972	Cytochrome P450, conserved site
C49G7.8	IPR036396	Cytochrome P450 superfamily
C49H3.1	IPR000719	Protein kinase domain
C49H3.1	IPR001054	Adenylyl cyclase class-3/4/guanylyl cyclase
C49H3.1	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
C49H3.1	IPR001828	Receptor, ligand binding region
C49H3.1	IPR011009	Protein kinase-like domain superfamily
C49H3.1	IPR028082	Periplasmic binding protein-like I
C49H3.1	IPR029787	Nucleotide cyclase
C49H3.10b	IPR011989	Armadillo-like helical
C49H3.10b	IPR013598	Exportin-1/Importin-beta-like
C49H3.10b	IPR016024	Armadillo-type fold
C49H3.10b	IPR040017	Exportin-T
C49H3.10b	IPR045546	Exportin-T, C-terminal domain
C49H3.11	IPR000851	Small ribosomal subunit protein uS5
C49H3.11	IPR005324	Small ribosomal subunit protein uS5, C-terminal
C49H3.11	IPR005711	Small ribosomal subunit protein uS5, eukaryotic/archaeal
C49H3.11	IPR013810	Small ribosomal subunit protein uS5, N-terminal
C49H3.11	IPR014721	Small ribosomal subunit protein uS5 domain 2-type fold, subgroup
C49H3.11	IPR018192	Small ribosomal subunit protein uS5, N-terminal, conserved site
C49H3.11	IPR020568	Ribosomal protein uS5 domain 2-type superfamily
C49H3.16	IPR002223	Pancreatic trypsin inhibitor Kunitz domain
C49H3.16	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily
C49H3.3	IPR018784	Learning associated protein 18-like
C49H3.4	IPR001163	Sm domain, eukaryotic/archaea-type
C49H3.4	IPR010920	LSM domain superfamily
C49H3.4	IPR039267	U7 snRNA-associated Sm-like protein Lsm11
C49H3.5d	IPR000504	RNA recognition motif domain
C49H3.5d	IPR001841	Zinc finger, RING-type
C49H3.5d	IPR003954	RNA recognition motif domain, eukaryote
C49H3.5d	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily
C49H3.5d	IPR013083	Zinc finger, RING/FYVE/PHD-type
C49H3.5d	IPR034261	CNOT4, RNA recognition motif
C49H3.5d	IPR035979	RNA-binding domain superfamily
C49H3.5d	IPR039515	NOT4, modified RING finger, HC subclass (C4C4-type)
C49H3.5d	IPR039780	CCR4-NOT transcription complex subunit 4
C49H3.6a	IPR019131	Cortactin-binding protein-2, N-terminal
C49H3.8	IPR004000	Actin family
C49H3.8	IPR043129	ATPase, nucleotide binding domain
C49H3.9	IPR012935	Zinc finger, C3HC-like
C50A2.2a	IPR000953	Chromo/chromo shadow domain
C50A2.2a	IPR016197	Chromo-like domain superfamily
C50A2.4	IPR000418	Ets domain
C50A2.4	IPR036388	Winged helix-like DNA-binding domain superfamily
C50A2.4	IPR036390	Winged helix DNA-binding domain superfamily
C50A2.4	IPR046328	ETS family
C50A2.7	IPR006583	PAN-3 domain
C50B6.10	IPR019428	7TM GPCR, serpentine receptor class r (Str)
C50B6.11	IPR006028	Gamma-aminobutyric acid A receptor/Glycine receptor alpha
C50B6.11	IPR006029	Neurotransmitter-gated ion-channel transmembrane domain
C50B6.11	IPR006201	Neurotransmitter-gated ion-channel
C50B6.11	IPR006202	Neurotransmitter-gated ion-channel ligand-binding domain
C50B6.11	IPR018000	Neurotransmitter-gated ion-channel, conserved site
C50B6.11	IPR036719	Neurotransmitter-gated ion-channel transmembrane domain superfamily
C50B6.11	IPR036734	Neurotransmitter-gated ion-channel ligand-binding domain superfamily
C50B6.11	IPR038050	Neuronal acetylcholine receptor
C50B6.12	IPR019428	7TM GPCR, serpentine receptor class r (Str)
C50B6.14	IPR000536	Nuclear hormone receptor, ligand-binding domain
C50B6.14	IPR001628	Zinc finger, nuclear hormone receptor-type
C50B6.14	IPR001723	Nuclear hormone receptor
C50B6.14	IPR013088	Zinc finger, NHR/GATA-type
C50B6.14	IPR035500	Nuclear hormone receptor-like domain superfamily
C50B6.14	IPR049636	Hepatocyte nuclear factor 4-like, DNA-binding domain
C50B6.2	IPR011990	Tetratricopeptide-like helical domain superfamily
C50B6.2	IPR019544	Tetratricopeptide, SHNi-TPR domain
C50B6.4	IPR002486	Nematode cuticle collagen, N-terminal
C50B6.5	IPR019422	7TM GPCR, serpentine receptor class h (Srh)
C50B6.6	IPR019422	7TM GPCR, serpentine receptor class h (Srh)
C50B6.7	IPR006046	Alpha amylase
C50B6.7	IPR006047	Glycosyl hydrolase, family 13, catalytic domain
C50B6.7	IPR006048	Alpha-amylase/branching enzyme, C-terminal all beta
C50B6.7	IPR013780	Glycosyl hydrolase, all-beta
C50B6.7	IPR017853	Glycoside hydrolase superfamily
C50B6.7	IPR031319	Alpha-amylase, C-terminal domain
C50B6.8a	IPR000536	Nuclear hormone receptor, ligand-binding domain
C50B6.8a	IPR001628	Zinc finger, nuclear hormone receptor-type
C50B6.8a	IPR001723	Nuclear hormone receptor
C50B6.8a	IPR013088	Zinc finger, NHR/GATA-type
C50B6.8a	IPR035500	Nuclear hormone receptor-like domain superfamily
C50B6.8a	IPR049636	Hepatocyte nuclear factor 4-like, DNA-binding domain
C50B6.9	IPR029058	Alpha/Beta hydrolase fold
C50B8.1	IPR000504	RNA recognition motif domain
C50B8.1	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily
C50B8.1	IPR035979	RNA-binding domain superfamily
C50B8.2	IPR001370	BIR repeat
C50B8.3	IPR008979	Galactose-binding-like domain superfamily
C50B8.3	IPR013857	NADH:ubiquinone oxidoreductase intermediate-associated protein 30
C50B8.3	IPR039131	Complex I intermediate-associated protein 30, mitochondrial
C50C10.1	IPR003839	7TM GPCR, serpentine receptor class u (Sru)
C50C10.2	IPR003839	7TM GPCR, serpentine receptor class u (Sru)
C50C10.3	IPR003839	7TM GPCR, serpentine receptor class u (Sru)
C50C10.4	IPR003839	7TM GPCR, serpentine receptor class u (Sru)
C50C10.6	IPR019428	7TM GPCR, serpentine receptor class r (Str)
C50C10.7	IPR019428	7TM GPCR, serpentine receptor class r (Str)
C50C3.1	IPR000571	Zinc finger, CCCH-type
C50C3.1	IPR041367	E3 ligase, CCCH-type zinc finger
C50C3.2	IPR002017	Spectrin repeat
C50C3.2	IPR002048	EF-hand domain
C50C3.2	IPR011992	EF-hand domain pair
C50C3.2	IPR018159	Spectrin/alpha-actinin
C50C3.2	IPR018247	EF-Hand 1, calcium-binding site
C50C3.5	IPR002048	EF-hand domain
C50C3.5	IPR011992	EF-hand domain pair
C50C3.5	IPR018247	EF-Hand 1, calcium-binding site
C50C3.6	IPR000555	JAB1/MPN/MOV34 metalloenzyme domain
C50C3.6	IPR012337	Ribonuclease H-like superfamily
C50C3.6	IPR012591	PRO8NT domain
C50C3.6	IPR012592	PROCN domain
C50C3.6	IPR012984	PROCT domain
C50C3.6	IPR019580	Pre-mRNA-processing-splicing factor 8, U6-snRNA-binding
C50C3.6	IPR019581	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding
C50C3.6	IPR019582	RNA recognition motif, spliceosomal PrP8
C50C3.6	IPR021983	PRP8 domain IV core
C50C3.6	IPR027652	Pre-mRNA-processing-splicing factor 8
C50C3.6	IPR037518	MPN domain
C50C3.6	IPR042516	Pre-mRNA-processing-splicing factor 8, U5-snRNA-binding domain superfamily
C50C3.6	IPR043172	Prp8 RNase domain IV, palm region
C50C3.6	IPR043173	Prp8 RNase domain IV, fingers region
C50C3.7	IPR000300	Inositol polyphosphate-related phosphatase
C50C3.7	IPR036691	Endonuclease/exonuclease/phosphatase superfamily
C50C3.7	IPR041611	SKICH domain
C50C3.7	IPR046985	Inositol 5-phosphatase
C50C3.8	IPR000210	BTB/POZ domain
C50C3.8	IPR002083	MATH/TRAF domain
C50C3.8	IPR008974	TRAF-like
C50C3.8	IPR011333	SKP1/BTB/POZ domain superfamily
C50C3.9a	IPR002035	von Willebrand factor, type A
C50C3.9a	IPR013608	VWA N-terminal
C50C3.9a	IPR036465	von Willebrand factor A-like domain superfamily
C50D2.2	IPR002293	Amino acid/polyamine transporter I
C50D2.2	IPR029485	Cationic amino acid transporter, C-terminal
C50D2.3	IPR001478	PDZ domain
C50D2.3	IPR036034	PDZ superfamily
C50D2.3	IPR040264	Uncharacterized protein T15H9.4-like
C50D2.4	IPR002486	Nematode cuticle collagen, N-terminal
C50D2.4	IPR008160	Collagen triple helix repeat
C50D2.5	IPR000504	RNA recognition motif domain
C50D2.5	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily
C50D2.5	IPR034150	SF3B6, RNA recognition motif
C50D2.5	IPR035979	RNA-binding domain superfamily
C50D2.7	IPR007666	ADP-specific phosphofructokinase/glucokinase
C50D2.7	IPR029056	Ribokinase-like
C50D2.8a	IPR004882	Luc7-related
C50D2.9	IPR001227	Acyl transferase domain superfamily
C50D2.9	IPR014043	Acyl transferase
C50D2.9	IPR016035	Acyl transferase/acyl hydrolase/lysophospholipase
C50E10.10	IPR004151	7TM GPCR, serpentine receptor class e (Sre)
C50E10.11	IPR004151	7TM GPCR, serpentine receptor class e (Sre)
C50E10.2b	IPR009676	Protein of unknown function DUF1265
C50E10.3	IPR004151	7TM GPCR, serpentine receptor class e (Sre)
C50E10.5	IPR004151	7TM GPCR, serpentine receptor class e (Sre)
C50E10.6	IPR004151	7TM GPCR, serpentine receptor class e (Sre)
C50E10.7	IPR004151	7TM GPCR, serpentine receptor class e (Sre)
C50E10.8	IPR004151	7TM GPCR, serpentine receptor class e (Sre)
C50E10.9	IPR004151	7TM GPCR, serpentine receptor class e (Sre)
C50E3.1	IPR001304	C-type lectin-like
C50E3.1	IPR016186	C-type lectin-like/link domain superfamily
C50E3.1	IPR016187	C-type lectin fold
C50E3.10	IPR014044	CAP domain
C50E3.10	IPR035940	CAP superfamily
C50E3.14	IPR006583	PAN-3 domain
C50E3.14	IPR016186	C-type lectin-like/link domain superfamily
C50E3.14	IPR016187	C-type lectin fold
C50E3.15	IPR016186	C-type lectin-like/link domain superfamily
C50E3.15	IPR016187	C-type lectin fold
C50E3.16	IPR002666	Reduced folate carrier
C50E3.16	IPR036259	MFS transporter superfamily
C50E3.3	IPR016186	C-type lectin-like/link domain superfamily
C50E3.3	IPR016187	C-type lectin fold
C50F2.10	IPR031770	Antibacterial factor-related peptide
C50F2.10	IPR038204	Antibacterial factor-related peptide superfamily
C50F2.3	IPR003107	HAT (Half-A-TPR) repeat
C50F2.3	IPR011990	Tetratricopeptide-like helical domain superfamily
C50F2.3	IPR045075	Pre-mRNA-splicing factor Syf1-like
C50F2.5	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain
C50F2.5	IPR003595	Protein-tyrosine phosphatase, catalytic
C50F2.5	IPR029021	Protein-tyrosine phosphatase-like
C50F2.6b	IPR001179	FKBP-type peptidyl-prolyl cis-trans isomerase domain
C50F2.6b	IPR046357	Peptidyl-prolyl cis-trans isomerase domain superfamily
C50F2.7	IPR007947	CD164-related protein
C50F2.8	IPR008144	Guanylate kinase-like domain
C50F2.8	IPR008145	Guanylate kinase/L-type calcium channel beta subunit
C50F2.8	IPR020590	Guanylate kinase, conserved site
C50F2.8	IPR027417	P-loop containing nucleoside triphosphate hydrolase
C50F2.8	IPR036028	SH3-like domain superfamily
C50F2.8	IPR036034	PDZ superfamily
C50F2.9	IPR031770	Antibacterial factor-related peptide
C50F2.9	IPR038204	Antibacterial factor-related peptide superfamily
C50F4.1	IPR004119	Ecdysteroid kinase-like
C50F4.1	IPR011009	Protein kinase-like domain superfamily
C50F4.1	IPR015897	CHK kinase-like
C50F4.10	IPR000719	Protein kinase domain
C50F4.10	IPR008271	Serine/threonine-protein kinase, active site
C50F4.10	IPR011009	Protein kinase-like domain superfamily
C50F4.11	IPR008672	Spindle assembly checkpoint component Mad1
C50F4.12	IPR003690	Transcription termination factor, mitochondrial/chloroplastic
C50F4.12	IPR038538	MTERF superfamily, mitochondrial/chloroplastic
C50F4.13	IPR002119	Histone H2A
C50F4.13	IPR007125	Histone H2A/H2B/H3
C50F4.13	IPR009072	Histone-fold
C50F4.13	IPR032454	Histone H2A, C-terminal domain
C50F4.13	IPR032458	Histone H2A conserved site
C50F4.14a	IPR004853	Sugar phosphate transporter domain
C50F4.16	IPR000086	NUDIX hydrolase domain
C50F4.16	IPR015797	NUDIX hydrolase-like domain superfamily
C50F4.2	IPR000023	Phosphofructokinase domain
C50F4.2	IPR009161	ATP-dependent 6-phosphofructokinase, eukaryotic-type
C50F4.2	IPR015912	Phosphofructokinase, conserved site
C50F4.2	IPR022953	ATP-dependent 6-phosphofructokinase
C50F4.2	IPR035966	Phosphofructokinase superfamily
C50F4.3	IPR000668	Peptidase C1A, papain C-terminal
C50F4.3	IPR013128	Peptidase C1A
C50F4.3	IPR013201	Cathepsin propeptide inhibitor domain (I29)
C50F4.3	IPR038765	Papain-like cysteine peptidase superfamily
C50F4.3	IPR039417	Papain-like cysteine endopeptidase
C50F4.5	IPR000558	Histone H2B
C50F4.5	IPR007125	Histone H2A/H2B/H3
C50F4.5	IPR009072	Histone-fold
C50F4.7	IPR001951	Histone H4
C50F4.7	IPR009072	Histone-fold
C50F4.7	IPR019809	Histone H4, conserved site
C50F4.7	IPR035425	CENP-T/Histone H4, histone fold
C50F7.10	IPR001360	Glycoside hydrolase family 1
C50F7.10	IPR017853	Glycoside hydrolase superfamily
C50F7.1b	IPR000276	G protein-coupled receptor, rhodopsin-like
C50F7.1b	IPR017452	GPCR, rhodopsin-like, 7TM
C50F7.3	IPR040264	Uncharacterized protein T15H9.4-like
C50F7.4	IPR005809	Succinate--CoA ligase-like, beta subunit
C50F7.4	IPR005811	ATP-citrate synthase/succinyl-CoA ligase, C-terminal domain
C50F7.4	IPR013650	ATP-grasp fold, succinyl-CoA synthetase-type
C50F7.4	IPR013815	ATP-grasp fold, subdomain 1
C50F7.4	IPR016102	Succinyl-CoA synthetase-like
C50F7.4	IPR017866	Succinyl-CoA synthetase, beta subunit, conserved site
C50F7.4	IPR034722	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial
C50H11.1	IPR000873	AMP-dependent synthetase/ligase domain
C50H11.1	IPR020845	AMP-binding, conserved site
C50H11.1	IPR025110	AMP-binding enzyme, C-terminal domain
C50H11.1	IPR042099	ANL, N-terminal domain
C50H11.1	IPR045851	AMP-binding enzyme, C-terminal domain superfamily
C50H11.10	IPR019425	7TM GPCR, serpentine receptor class t (Srt)
C50H11.11	IPR019425	7TM GPCR, serpentine receptor class t (Srt)
C50H11.12	IPR019428	7TM GPCR, serpentine receptor class r (Str)
C50H11.13	IPR017452	GPCR, rhodopsin-like, 7TM
C50H11.14	IPR019425	7TM GPCR, serpentine receptor class t (Srt)
C50H11.15	IPR001128	Cytochrome P450
C50H11.15	IPR002401	Cytochrome P450, E-class, group I
C50H11.15	IPR017972	Cytochrome P450, conserved site
C50H11.15	IPR036396	Cytochrome P450 superfamily
C50H11.2	IPR019425	7TM GPCR, serpentine receptor class t (Srt)
C50H11.4	IPR019425	7TM GPCR, serpentine receptor class t (Srt)
C50H11.7	IPR019422	7TM GPCR, serpentine receptor class h (Srh)
C50H11.9	IPR019428	7TM GPCR, serpentine receptor class r (Str)
C50H2.1b	IPR000276	G protein-coupled receptor, rhodopsin-like
C50H2.1b	IPR001611	Leucine-rich repeat
C50H2.1b	IPR002131	Glycoprotein hormone receptor family
C50H2.1b	IPR017452	GPCR, rhodopsin-like, 7TM
C50H2.1b	IPR032675	Leucine-rich repeat domain superfamily
C50H2.2a	IPR013604	7TM chemosensory receptor
C50H2.3a	IPR000152	EGF-type aspartate/asparagine hydroxylation site
C50H2.3a	IPR000742	EGF-like domain
C50H2.3a	IPR001881	EGF-like calcium-binding domain
C50H2.3a	IPR002223	Pancreatic trypsin inhibitor Kunitz domain
C50H2.3a	IPR018097	EGF-like calcium-binding, conserved site
C50H2.3a	IPR020901	Proteinase inhibitor I2, Kunitz, conserved site
C50H2.3a	IPR024731	EGF domain
C50H2.3a	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily
C50H2.6	IPR001356	Homeobox domain
C50H2.6	IPR009057	Homeobox-like domain superfamily
C50H2.7	IPR011009	Protein kinase-like domain superfamily
C51E3.1	IPR000276	G protein-coupled receptor, rhodopsin-like
C51E3.1	IPR017452	GPCR, rhodopsin-like, 7TM
C51E3.1	IPR019424	Serpentine type 7TM GPCR chemoreceptor Srsx
C51E3.1	IPR047130	Serpentine type 7TM GPCR chemoreceptor Srsx, nematodes
C51E3.2	IPR000276	G protein-coupled receptor, rhodopsin-like
C51E3.2	IPR017452	GPCR, rhodopsin-like, 7TM
C51E3.2	IPR019424	Serpentine type 7TM GPCR chemoreceptor Srsx
C51E3.2	IPR047130	Serpentine type 7TM GPCR chemoreceptor Srsx, nematodes
C51E3.3	IPR000276	G protein-coupled receptor, rhodopsin-like
C51E3.3	IPR017452	GPCR, rhodopsin-like, 7TM
C51E3.3	IPR019424	Serpentine type 7TM GPCR chemoreceptor Srsx
C51E3.3	IPR047130	Serpentine type 7TM GPCR chemoreceptor Srsx, nematodes
C51E3.4	IPR000276	G protein-coupled receptor, rhodopsin-like
C51E3.4	IPR017452	GPCR, rhodopsin-like, 7TM
C51E3.4	IPR019424	Serpentine type 7TM GPCR chemoreceptor Srsx
C51E3.4	IPR047130	Serpentine type 7TM GPCR chemoreceptor Srsx, nematodes
C51E3.5	IPR000276	G protein-coupled receptor, rhodopsin-like
C51E3.5	IPR017452	GPCR, rhodopsin-like, 7TM
C51E3.5	IPR019424	Serpentine type 7TM GPCR chemoreceptor Srsx
C51E3.5	IPR047130	Serpentine type 7TM GPCR chemoreceptor Srsx, nematodes
C51E3.6	IPR006043	Nucleobase cation symporter 2 family
